书名,作者,价格,出版时间
悉达多（心动的信号7彭高翁青雅同款，翻译家姜乙译本）【果麦经典】,赫尔曼·黑塞,¥15.00,2017-01-01
2024年诺贝尔文学奖得主韩江作品：植物妻子：《素食者》姊妹篇,韩江,¥39.90,2023-02-01
活着（余华代表作，精装，易烊千玺推荐阅读）,余华,¥31.00,2021-10-01
【印签版】一句顶一万句（刘震云作品，一本让“中国脱口秀扛把子”李诞连声叫绝的茅奖好书，当当专享印签本）,刘震云,¥30.70,2022-08-01
我胆小如鼠 新版上市 余华特别增订5千字成长经验访谈 我曾是敏感怯懦的孩子中的一个 这是我们共同的自传 读客当代文学文库,余华,¥35.80,2024-05-30
2024年诺贝尔文学奖韩江作品：不做告别（亚洲首位布克国际文学奖得主韩江《少年来了》后，再次书写国家暴力、大屠杀。文在寅推荐）,韩江,¥39.90,2023-11-30
纳尔齐斯与歌尔德蒙（余秋雨推荐作品；诺贝尔文学奖获得者黑塞代表作品；著名翻译家巴蜀译翁（杨武能）德语直译）,赫尔曼·黑塞,¥26.00,2022-08-15
额尔古纳河右岸（茅盾文学奖获奖作品全集28）,迟子建,¥16.00,2019-06-01
三体：全三册 刘慈欣代表作，亚洲“雨果奖”获奖作品！,刘慈欣,¥42.00,2010-11-01
2024年诺贝尔文学奖得主韩江作品：失语者（杀疯了的韩女文学大师韩江《素食者》后调动鲜血与热泪谱写长篇新作）,韩江,¥38.60,2023-09-30
十八岁出门远行（严重精神内耗，一定要读十八岁！余华成名作！看到余华当年鼻青脸肿的样子，我觉得我又行了！）（读客当代文学文库）,余华,¥29.20,2024-03-01
晚熟的人（莫言新书）,莫言,¥26.60,2020-07-01
悉达多（诺贝尔文学奖得主赫尔曼·黑塞的代表作，德文直译，原版呈现。）,赫尔曼·黑塞,¥12.45,2020-12-01
马尔克斯：百年孤独（50周年纪念版）,加西亚·马尔克斯,¥39.60,2017-08-01
长安的荔枝,马伯庸,¥29.00,2022-10-31
窄门（诺贝尔文学奖经典 读完《窄门》便读懂了纪德的一生 法文直译全新版 “你希望很快忘记吗？—我希望永远不忘”）,安德烈·纪德,¥21.20,2018-10-01
生死疲劳 不看不知道，莫言真幽默！全新版本！余华推荐！,莫言,¥45.40,2022-01-01
克林索尔的最后夏天（诺贝尔文学奖得主黑塞自传式作品。）【果麦经典】,赫尔曼·黑塞,¥19.40,2018-12-01
杀死一只知更鸟（豆瓣9.3，关于勇气与正义的成长教科书，影响全球5000万家庭的“教养宝典”，奥巴马、贝克汉姆、奥普拉鼎力推荐）,哈珀·李,¥34.80,2022-11-01
第七天（2024年百班千人寒假书单 九年级推荐阅读）（2022版，余华长篇小说经典，比《活着》更绝望，比《兄弟》更荒诞，获华语文学传媒大奖）,余华,¥36.70,2022-12-01
十日终焉囚笼,杀虫队队员,¥29.80,2023-12-01
作家榜名著：月亮与六便士（162万+读者高分推荐版！好评率高达99%！连续8年高居畅销榜！毛姆小说代表作！写给每个迷茫的人！）,毛姆,¥15.50,2017-01-10
平凡的世界：全三册（全新2021版，茅盾文学奖获奖作品，激励青年的不朽经典）,路遥,¥98.00,2021-06-01
红楼梦（上、下册，全两册，全本120回）（团购电话:400-1066666转6）,曹雪芹,¥32.50,1982-03-01
十日终焉·迷城,杀虫队队员,¥22.90,2024-04-01
十日终焉3不息,杀虫队队员,¥31.50,2024-06-01
布鲁克林有棵树（与《小王子》《夏洛的网》《哈利·波特》《绿山墙的安妮》并列的蕞佳青少年读物）,贝蒂·史密斯,¥19.90,2023-02-01
经典译林：福尔摩斯探案集,柯南·道尔,¥29.00,2019-01-01
本巴（第11届茅盾文学奖获奖作品。以蒙古族史诗《江格尔》为背景，追溯逝去的人类童年）,刘亮程,¥29.50,2022-01-01
云边有个小卖部（俞敏洪《在岁月中远行》单独撰文推荐，随书附赠云边镇四季明信片和张嘉佳作词单曲彩蛋）,张嘉佳,¥23.10,2018-07-01
好兵帅克（译文经典）,雅·哈谢克,¥27.80,2021-05-01
西游记原著版（上、下册）（团购电话:400-1066666转6）,吴承恩,¥26.00,2010-10-01
人生海海（麦家经典代表作，莫言、罗翔盛赞，入选《人民日报》书单，发行量超300万，创文学新奇迹）,麦家,¥34.50,2023-08-01
许三观卖血记（余华温情幽默之作！一本写尽中国人“三观”的小说，展现普通人的爱与尊严。2024新版）,余华,¥40.70,2024-03-01
追风筝的人（李雪琴、高圆圆推荐）,卡勒德·胡赛尼,¥19.80,2006-05-01
务虚笔记（史铁生著/半自传式作品）,史铁生,¥22.00,2023-03-01
傲慢与偏见 世界名著典藏,奥斯丁,¥6.00,2015-04-01
黄泥街（残雪）,残雪,¥21.00,2021-03-01
一个陌生女人的来信（戏剧导演孟京辉导读推荐，文学史上“暗恋”的代名词，句句锥心，诠释炽热的暗恋情愫）,斯蒂芬茨威格,¥16.00,2018-08-01
东野圭吾：解忧杂货店（胡歌、王俊凯、刘昊然倾情推荐，简体中文1000万册纪念版）,东野圭吾,¥29.50,2020-09-01
飘（上下） 世界名著典藏,米切尔,¥15.00,2015-02-01
残雪作品精选,残雪,¥17.10,2020-11-01
悉达多 新版！曾经我也觉得人生很痛苦，直到在《悉达多》里找到安宁！伊能静推荐！诺奖作家黑塞治愈系神作全本无删。,赫尔曼·黑塞,¥19.90,2019-04-01
地下室手记（罗翔老师推荐版本，荣登豆瓣2020年度读书经典类榜单，9.5分高口碑译文，千人五星好评！）,陀思妥耶夫斯基,¥18.70,2020-05-01
天堂旅行团（继《全世界》《云边》之后，张嘉佳新书2021全新长篇力作）,张嘉佳,¥26.40,2021-08-01
金阁寺（多次入围诺贝尔文学奖，鬼才作家三岛由纪夫代表作）,三岛由纪夫,¥15.20,2021-07-01
遥远的救世主（天道原著王志文主演电视剧豆豆著 现当代经典长篇小说）,豆豆,¥31.90,2023-01-01
小王子（易烊千玺推荐李继宏导演《小王子》电影，畅销500万册，罗翔老师推荐，李继宏口碑译作，作者基金会官方认证）【果麦经典】,安托万·德·圣埃克苏佩里,¥19.90,2018-06-03
古都（诺贝尔文学奖获奖作品，川端康成经典名作，名校专家全译本。）,川端康成,¥19.60,2023-05-01
球状闪电（典藏版）,刘慈欣,¥11.40,2014-07-01
超新星纪元（典藏版）,刘慈欣,¥14.80,2009-04-01
涅朵奇卡：一个女人的一生（陀思妥耶夫斯基神作，王小波读完终生难忘。全新精装插图典藏版。）,陀思妥耶夫斯基,¥20.80,2023-09-01
食南之徒,马伯庸,¥30.80,2024-04-10
盗墓笔记.套装（2022纪念典藏版全9册）——盗墓铁三角引你入局，带你走进南派三叔的奇妙世界。比鬼神更可怕的，是人心。）,南派三叔,¥322.70,2022-06-27
大师和玛格丽特（余华导读推荐，某瓣9.3高分插图珍藏版。马尔克斯、塔可夫斯基、吴青峰推荐阅读！）,布尔加科夫,¥32.50,2023-11-01
东野圭吾：白夜行（易烊千玺、孟非推荐，东野圭吾作品无冕之王）,东野圭吾,¥35.20,2017-08-09
在细雨中呼喊（余华长篇！当我们凶狠地对待这个世界时，这个世界突然变得温文尔雅了。2023新版）,余华,¥40.70,2023-06-01
北京法源寺（大师珍藏版） 李敖代表作之一,李敖,¥19.90,2018-11-01
一九八四（又译“1984”。奥威尔代表作，反乌托邦杰作之一）,乔治·奥威尔,¥12.80,2018-02-05
马伯庸见微系列套装：长安的荔枝+太白金星有点烦,马伯庸,¥58.00,2023-06-01
